"id_paper","ref_edition"
817,"conf/ds/1974"
171801,"journals/lncs/1991-546"
171802,"journals/lncs/1991-546"
171803,"journals/lncs/1993-759"
171804,"journals/lncs/1991-546"
171805,"journals/lncs/1993-759"
171807,"journals/lncs/1991-546"
171808,"journals/lncs/1991-546"
171809,"journals/lncs/1994-910"
171810,"journals/lncs/1991-546"
171811,"journals/lncs/1991-546"
171812,"journals/lncs/1993-759"
171813,"journals/lncs/1991-546"
171814,"journals/lncs/1991-546"
171815,"journals/lncs/1994-910"
171816,"journals/lncs/1991-546"
171817,"journals/lncs/1991-546"
171819,"journals/lncs/1993-759"
171820,"journals/lncs/1991-546"
171821,"journals/lncs/1991-546"
171823,"journals/lncs/1994-910"
171824,"journals/lncs/1991-546"
171826,"journals/lncs/1991-546"
171827,"journals/lncs/1993-759"
171828,"journals/lncs/1993-759"
171829,"journals/lncs/1991-546"
171830,"journals/lncs/1991-546"
171831,"journals/lncs/1993-759"
171832,"journals/lncs/1991-546"
171833,"journals/lncs/1993-759"
171834,"journals/lncs/1994-910"
171836,"journals/lncs/1991-546"
171837,"journals/lncs/1994-910"
171838,"journals/lncs/1991-546"
171839,"journals/lncs/1994-910"
171840,"journals/lncs/1991-546"
171841,"journals/lncs/1991-546"
171843,"journals/lncs/1991-546"
171844,"journals/lncs/1993-759"
171846,"journals/lncs/1991-546"
171848,"journals/lncs/1991-546"
171849,"journals/lncs/1993-759"
171850,"journals/lncs/1991-546"
171852,"journals/lncs/1994-910"
171853,"journals/lncs/1993-759"
171855,"journals/lncs/1993-759"
171856,"journals/lncs/1991-546"
171858,"journals/lncs/1991-546"
171860,"journals/lncs/1991-546"
171861,"journals/lncs/1994-910"
171863,"journals/lncs/1991-546"
171864,"journals/lncs/1991-546"
171866,"journals/lncs/1991-546"
171867,"journals/lncs/1991-546"
171868,"journals/lncs/1994-910"
171869,"journals/lncs/1991-546"
171870,"journals/lncs/1991-546"
171873,"journals/lncs/1994-910"
171874,"journals/lncs/1994-910"
171875,"journals/lncs/1994-910"
171876,"journals/lncs/1994-910"
171878,"journals/lncs/1993-759"
171879,"journals/lncs/1991-546"
171880,"journals/lncs/1991-546"
171881,"journals/lncs/1994-910"
171882,"journals/lncs/1991-546"
171883,"journals/lncs/1993-759"
171884,"journals/lncs/1991-546"
171885,"journals/lncs/1993-759"
171886,"journals/lncs/1991-546"
171889,"journals/lncs/1991-546"
171890,"journals/lncs/1993-759"
171891,"journals/lncs/1993-759"
171892,"journals/lncs/1993-759"
171894,"journals/lncs/1991-546"
171895,"journals/lncs/1993-759"
171896,"journals/lncs/1994-910"
171897,"journals/lncs/1991-546"
171898,"journals/lncs/1993-759"
171899,"journals/lncs/1991-546"
171900,"journals/lncs/1991-546"
244721,"conf/nips/2008coa"
244723,"conf/aistats/2012"
244729,"conf/aistats/2012"
244737,"conf/aistats/2010"
244741,"conf/aistats/2011"
244743,"conf/aistats/2007"
244747,"conf/aistats/2012"
244750,"conf/colt/2012"
244758,"conf/aistats/2009"
244763,"conf/aistats/2012"
244768,"conf/aistats/2012"
244777,"conf/aistats/2010w"
244779,"conf/aistats/2012"
244784,"conf/aistats/2012"
244786,"conf/aistats/2011"
244788,"conf/aistats/2011"
244791,"conf/wapa/2010"
244793,"conf/acml/2011"
244802,"conf/wapa/2011"
244804,"conf/acml/2012"
244810,"conf/aistats/2012"
244811,"conf/aistats/2011"
244819,"conf/nips/2008coa"
244821,"conf/aistats/2010"
244829,"conf/aistats/2010"
244834,"conf/nips/2008coa"
244840,"conf/aistats/2012"
244843,"conf/aistats/2011"
244849,"conf/aistats/2011"
244852,"conf/aistats/2010"
244855,"conf/colt/2011"
244856,"conf/aistats/2011"
244857,"conf/aistats/2011"
244863,"conf/aistats/2012"
244880,"conf/aistats/2012"
244881,"conf/aistats/2010"
244883,"conf/kdd/2009kddcup"
244885,"conf/kdd/2011kddcup"
244892,"conf/aistats/2010"
244898,"conf/colt/2011"
244905,"conf/aistats/2012"
244906,"conf/colt/2011"
244909,"conf/colt/2011"
244910,"conf/colt/2012"
244925,"conf/pkdd/2008fsdm"
244931,"conf/aistats/2012"
244932,"conf/acml/2012"
244939,"conf/aistats/2010"
244942,"conf/aistats/2007"
244945,"conf/icgi/2012"
244946,"conf/aistats/2011"
244950,"conf/acml/2012"
244953,"conf/aistats/2012"
244954,"conf/icgi/2012"
244963,"conf/aistats/2010"
244972,"conf/aistats/2009"
244981,"conf/aistats/2012"
244988,"conf/aistats/2007"
244997,"conf/aistats/2012"
245001,"conf/aistats/2009"
245009,"conf/aistats/2012"
245012,"conf/aistats/2010"
245021,"conf/aistats/2012"
245028,"conf/wapa/2011"
245033,"conf/wapa/2011"
245035,"conf/aistats/2007"
245044,"conf/aistats/2007"
245045,"conf/aistats/2010"
245046,"conf/aistats/2007"
245054,"conf/aistats/2011"
245055,"conf/aistats/2010"
245058,"conf/aistats/2009"
245060,"conf/aistats/2012"
245064,"conf/aistats/2009"
245067,"conf/aistats/2011"
245074,"conf/acml/2010"
245076,"conf/icgi/2012"
245078,"conf/aistats/2011"
245080,"conf/aistats/2011"
245086,"conf/aistats/2010w"
245088,"conf/colt/2012"
245092,"conf/aistats/2010"
245100,"conf/colt/2011"
245102,"conf/aistats/2009"
245111,"conf/aistats/2011"
245119,"conf/nips/2008coa"
245123,"conf/aistats/2007"
245128,"conf/colt/2011"
245132,"conf/colt/2011"
245133,"conf/aistats/2007"
245134,"conf/aistats/2009"
245153,"conf/wapa/2010"
245157,"conf/aistats/2012"
245159,"conf/icgi/2012"
245160,"conf/aistats/2011"
245161,"conf/wapa/2010"
245172,"conf/aistats/2010"
245174,"conf/nips/2008coa"
245176,"conf/aistats/2011"
245186,"conf/colt/2012"
245192,"conf/aistats/2007"
245193,"conf/aistats/2007"
245200,"conf/aistats/2011"
245214,"conf/aistats/2009"
245215,"conf/icml/2011utl"
245222,"conf/colt/2011"
245224,"conf/aistats/2011"
245234,"conf/icml/2011utl"
245240,"conf/aistats/2011"
245245,"conf/aistats/2010"
245252,"conf/aistats/2007"
245253,"conf/aistats/2010"
245256,"conf/icgi/2012"
245263,"conf/aistats/2010"
245265,"conf/aistats/2012"
245266,"conf/icgi/2012"
245272,"conf/aistats/2011"
245275,"conf/colt/2011"
245276,"conf/aistats/2007"
245278,"conf/aistats/2012"
245280,"conf/aistats/2007"
245292,"conf/aistats/2007"
245295,"conf/aistats/2007"
245304,"conf/acml/2012"
245305,"conf/aistats/2012"
245307,"conf/aistats/2012"
245309,"conf/acml/2011"
245314,"conf/aistats/2011"
245322,"conf/mlsb/2009"
245340,"conf/nips/2009mscts"
245341,"conf/aistats/2010"
245345,"conf/aistats/2012"
245346,"conf/aistats/2012"
245347,"conf/aistats/2011"
245354,"conf/aistats/2012"
245365,"conf/aistats/2012"
245367,"conf/aistats/2007"
245369,"conf/acml/2011"
245371,"conf/aistats/2010"
245376,"conf/aistats/2009"
245377,"conf/icgi/2012"
245379,"conf/aistats/2007"
245380,"conf/aistats/2012"
245381,"conf/aistats/2009"
245384,"conf/aistats/2007"
245390,"conf/acml/2010"
245392,"conf/aistats/2007"
245393,"conf/aistats/2011"
245395,"conf/aistats/2010w"
245397,"conf/aistats/2010"
245398,"conf/acml/2012"
245399,"conf/aistats/2012"
245400,"conf/colt/2012"
245401,"conf/aistats/2010"
245402,"conf/aistats/2009"
245403,"conf/aistats/2010"
245404,"conf/aistats/2012"
245413,"conf/nips/2009mscts"
245425,"conf/colt/2012"
245429,"conf/aistats/2011"
245431,"conf/pakdd/2010fsdm"
245438,"conf/aistats/2009"
245445,"conf/aistats/2010"
245448,"conf/aistats/2009"
245451,"conf/colt/2011"
245452,"conf/aistats/2012"
245481,"conf/aistats/2007"
245485,"conf/aistats/2012"
245487,"conf/aistats/2010"
245490,"conf/aistats/2010"
245499,"conf/aistats/2011"
245508,"conf/aistats/2011"
245509,"conf/pkdd/2008fsdm"
245513,"conf/acml/2011"
245517,"conf/icml/2010ltr"
245519,"conf/aistats/2009"
245524,"conf/aistats/2010"
245525,"conf/kdd/2009kddcup"
245527,"conf/aistats/2012"
245532,"conf/nips/2008coa"
245542,"conf/aistats/2007"
245549,"conf/aistats/2011"
245551,"conf/colt/2011"
245553,"conf/icgi/2012"
245559,"conf/aistats/2009"
245568,"conf/aistats/2012"
245574,"conf/colt/2011"
245577,"conf/mlsb/2009"
245598,"conf/acml/2010"
245606,"conf/colt/2012"
245611,"conf/colt/2012"
245615,"conf/aistats/2012"
245618,"conf/colt/2012"
245622,"conf/aistats/2007"
245629,"conf/wcci/2008cpc"
245634,"conf/colt/2011"
245636,"conf/aistats/2010"
245638,"conf/aistats/2010"
245641,"conf/acml/2012"
245645,"conf/aistats/2012"
245649,"conf/aistats/2012"
245651,"conf/aistats/2010"
245653,"conf/aistats/2012"
245654,"conf/acml/2012"
245656,"conf/aistats/2010"
245658,"conf/colt/2012"
245663,"conf/aistats/2011"
245669,"conf/aistats/2011"
245672,"conf/aistats/2012"
245674,"conf/aistats/2012"
245675,"conf/aistats/2010"
245676,"conf/aistats/2012"
245677,"conf/aistats/2012"
245684,"conf/aistats/2010"
245695,"conf/pkdd/2008fsdm"
245706,"conf/colt/2011"
245715,"conf/aistats/2011"
245718,"conf/aistats/2007"
245720,"conf/icml/2010ltr"
245722,"conf/aistats/2011"
245723,"conf/kdd/2011kddcup"
245727,"conf/wapa/2011"
245728,"conf/aistats/2012"
245731,"conf/aistats/2009"
245732,"conf/aistats/2011"
245745,"conf/aistats/2010"
245747,"conf/aistats/2010"
245749,"conf/aistats/2010"
245752,"conf/aistats/2009"
245756,"conf/aistats/2012"
245759,"conf/colt/2012"
245765,"conf/aistats/2012"
245773,"conf/aistats/2012"
245774,"conf/acml/2010"
245775,"conf/aistats/2012"
245783,"conf/aistats/2007"
245784,"conf/aistats/2010"
245793,"conf/aistats/2007"
245799,"conf/colt/2011"
245806,"conf/aistats/2007"
245812,"conf/pakdd/2010fsdm"
245824,"conf/aistats/2012"
245825,"conf/aistats/2007"
245831,"conf/colt/2011"
245833,"conf/kdd/2009kddcup"
245845,"conf/colt/2012"
245858,"conf/aistats/2012"
245880,"conf/aistats/2010"
245886,"conf/acml/2012"
245889,"conf/aistats/2010"
245891,"conf/icml/2011utl"
245892,"conf/aistats/2007"
245908,"conf/wapa/2011"
245916,"conf/aistats/2010w"
245917,"conf/acml/2012"
245919,"conf/aistats/2009"
245921,"conf/aistats/2010"
245925,"conf/aistats/2010"
245959,"conf/aistats/2009"
245960,"conf/aistats/2012"
245961,"conf/wapa/2011"
245968,"conf/aistats/2012"
245970,"conf/aistats/2010"
245974,"conf/kdd/2011kddcup"
245975,"conf/aistats/2012"
245978,"conf/aistats/2007"
245984,"conf/colt/2011"
245990,"conf/aistats/2012"
245993,"conf/aistats/2012"
246004,"conf/aistats/2010"
246008,"conf/pakdd/2010fsdm"
246009,"conf/aistats/2011"
246011,"conf/wapa/2010"
246015,"conf/acml/2010"
246017,"conf/aistats/2007"
246022,"conf/aistats/2010w"
246024,"conf/aistats/2010"
246036,"conf/wapa/2010"
246042,"conf/aistats/2009"
246044,"journals/jmlr/2006gpp"
246049,"conf/aistats/2012"
246054,"conf/aistats/2010"
246056,"conf/aistats/2011"
246067,"conf/acml/2010"
246071,"conf/aistats/2009"
246078,"conf/wapa/2010"
246084,"conf/aistats/2012"
246086,"conf/aistats/2012"
246092,"conf/aistats/2007"
246093,"conf/aistats/2012"
246100,"conf/wapa/2010"
246102,"conf/aistats/2009"
246103,"conf/colt/2012"
246110,"conf/acml/2011"
246111,"conf/kdd/2011kddcup"
246113,"conf/aistats/2012"
246114,"conf/aistats/2012"
246118,"conf/aistats/2007"
246121,"conf/aistats/2010w"
246129,"conf/nips/2008coa"
246130,"conf/wapa/2010"
246131,"conf/aistats/2011"
246132,"conf/aistats/2012"
246133,"conf/aistats/2011"
246139,"conf/aistats/2009"
246141,"conf/icml/2011utl"
246143,"conf/aistats/2011"
246144,"conf/aistats/2010w"
246145,"conf/aistats/2010"
246154,"conf/acml/2011"
246165,"conf/aistats/2012"
246170,"conf/acml/2010"
246179,"conf/colt/2011"
246181,"conf/acml/2012"
246185,"conf/aistats/2012"
246193,"conf/aistats/2009"
246194,"conf/aistats/2010"
246200,"conf/aistats/2012"
246201,"conf/aistats/2010"
246203,"conf/aistats/2009"
246204,"conf/aistats/2010"
246205,"conf/aistats/2010"
246211,"conf/aistats/2010"
246212,"conf/aistats/2007"
246215,"conf/kdd/2009kddcup"
246223,"conf/aistats/2010"
246227,"conf/wcci/2008cpc"
246231,"conf/aistats/2011"
246234,"conf/colt/2011"
246237,"conf/aistats/2007"
246241,"conf/aistats/2009"
246242,"conf/aistats/2012"
246246,"conf/aistats/2011"
246257,"conf/acml/2010"
246259,"conf/kdd/2009kddcup"
246266,"conf/aistats/2012"
246269,"conf/acml/2010"
246273,"conf/colt/2012"
246278,"conf/colt/2011"
246283,"conf/mlsb/2009"
246293,"conf/aistats/2007"
246296,"conf/pkdd/2008fsdm"
246298,"conf/acml/2012"
246299,"conf/colt/2012"
246301,"conf/acml/2010"
246302,"conf/aistats/2012"
246303,"conf/aistats/2012"
246305,"conf/icml/2011utl"
246309,"conf/aistats/2010"
246320,"conf/aistats/2011"
246321,"conf/aistats/2011"
246322,"conf/aistats/2012"
246323,"conf/aistats/2009"
246324,"conf/mlsb/2009"
246328,"conf/acml/2012"
246330,"conf/icml/2011otee"
246335,"conf/aistats/2012"
246338,"conf/aistats/2009"
246340,"conf/kdd/2009kddcup"
246341,"conf/aistats/2012"
246343,"conf/acml/2011"
246354,"conf/icgi/2012"
246358,"conf/colt/2012"
246359,"conf/kdd/2009kddcup"
246363,"journals/jmlr/2006gpp"
246366,"conf/aistats/2010"
246371,"conf/wapa/2010"
246374,"conf/aistats/2011"
246376,"conf/aistats/2007"
246377,"conf/aistats/2011"
246378,"conf/kdd/2011kddcup"
246379,"conf/aistats/2012"
246380,"conf/aistats/2011"
246381,"conf/aistats/2011"
246388,"conf/aistats/2007"
246394,"conf/aistats/2012"
246399,"conf/colt/2012"
246413,"conf/aistats/2012"
246415,"conf/aistats/2010"
246416,"conf/nips/2008coa"
246423,"conf/aistats/2010"
246424,"conf/aistats/2010"
246426,"conf/pkdd/2008fsdm"
246428,"conf/acml/2010"
246430,"conf/acml/2010"
246431,"conf/nips/2008coa"
246432,"conf/aistats/2009"
246439,"conf/aistats/2012"
246440,"conf/aistats/2010"
246442,"conf/aistats/2007"
246446,"conf/icml/2010ltr"
246466,"conf/colt/2012"
246467,"conf/aistats/2010"
246473,"conf/aistats/2012"
246474,"conf/icgi/2012"
246480,"conf/aistats/2009"
246482,"conf/colt/2011"
246484,"conf/aistats/2007"
246486,"conf/colt/2012"
246491,"conf/aistats/2010w"
246492,"conf/aistats/2012"
246499,"conf/aistats/2012"
246502,"conf/aistats/2011"
246507,"conf/aistats/2007"
246509,"conf/aistats/2009"
246510,"conf/aistats/2012"
246515,"conf/aistats/2012"
246518,"conf/aistats/2009"
246524,"conf/aistats/2007"
