"journal","community"
"ANSI X2H2","Database"
"IBM Publication","Database"
"Research Report / G / IBM / Cambridge Scientific Center","Database"
"Compulog Newsletter","Database"
"GTE Laboratories Incorporated","Database"
"Hydrology and Earth System Sciences","Database"
"Technical Report","Database"
"University of California at Berkeley","Database"
"ETH Zurich, Department of Computer Science / Technical Report","Database"
"Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre","Database"
"Digital System Research Center Report","Database"
"Research Report / RJ / IBM / San Jose, California","Database"
"meltdownattack.com","Database"